#version 3.1.022820
Isoform,RefSeq,EntrezID,Hugo_Symbol,Chromosome,Start,End,Strand,Num_Exons,Oncogene,TSG
ENST00000616365,NM_003533,8354,HIST1H3I,chr6,27871905,27872315,-,1,No,No
ENST00000616365,NM_003533,8354,H3C11,chr6,27871905,27872315,-,1,No,No
ENST00000614378,NM_003534,8355,HIST1H3G,chr6,26269405,26271815,-,1,No,No
ENST00000614378,NM_003534,8355,H3C8,chr6,26269405,26271815,-,1,No,No
ENST00000359303,NM_003535,8356,HIST1H3J,chr6,27890382,27893106,-,1,No,No
ENST00000359303,NM_003535,8356,H3C12,chr6,27890382,27893106,-,1,No,No
ENST00000369163,NM_003536,8357,HIST1H3H,chr6,27810064,27811300,+,1,No,No
ENST00000369163,NM_003536,8357,H3C10,chr6,27810064,27811300,+,1,No,No
ENST00000621411,NM_003537,8358,HIST1H3B,chr6,26031594,26032099,-,1,No,No
ENST00000621411,NM_003537,8358,H3C2,chr6,26031594,26032099,-,1,No,No
ENST00000264414,NM_003590,8452,CUL3,chr2,224470150,224585397,-,16,No,No
ENST00000347343,NM_003600,6790,AURKA,chr20,56369389,56392337,-,9,Yes,No
ENST00000305921,NM_003620,8493,PPM1D,chr17,60600183,60666280,+,6,Yes,No
ENST00000262741,NM_003629,8503,PIK3R3,chr1,46040140,46133036,-,10,No,Yes
ENST00000264731,NM_003722,8626,TP63,chr3,189631389,189897276,+,14,Yes,Yes
ENST00000332029,NM_003745,8651,SOCS1,chr16,11254408,11256204,-,2,No,Yes
ENST00000375856,NM_003749,8660,IRS2,chr13,109752695,109786583,-,2,Yes,No
ENST00000263360,NM_003797,8726,EED,chr11,86244753,86278813,+,12,No,Yes
ENST00000355716,NM_003820,8764,TNFRSF14,chr1,2555639,2565382,+,8,No,Yes
ENST00000370768,NM_003902,8880,FUBP1,chr1,77944055,77979110,-,20,No,Yes
ENST00000648566,NM_003921,8915,BCL10,chr1,85265776,85276632,-,3,No,Yes
ENST00000226382,NM_003924,8929,PHOX2B,chr4,41744082,41748725,-,3,No,Yes
ENST00000334205,NM_003942,8986,RPS6KA4,chr11,64359148,64372215,+,17,Yes,No
ENST00000312629,NM_003952,6199,RPS6KB2,chr11,67428460,67435401,+,15,Yes,No
ENST00000344686,NM_003954,9020,MAP3K14,chr17,45263119,45317029,-,17,Yes,No
ENST00000648006,NM_004048,567,B2M,chr15,44711487,44718877,+,4,No,Yes
ENST00000228872,NM_004064,1027,CDKN1B,chr12,12715058,12722369,+,3,No,Yes
ENST00000241453,NM_004119,2322,FLT3,chr13,28003274,28100592,-,24,Yes,No
ENST00000264932,NM_004168,6389,SDHA,chr5,218241,257082,+,15,No,Yes
ENST00000375401,NM_004187,8242,KDM5C,chrX,53191321,53225422,-,26,No,Yes
ENST00000375331,NM_004197,8859,STK19,chr6,31971091,31982821,+,8,No,No
ENST00000585124,NM_004217,9212,AURKB,chr17,8204733,8210600,-,9,Yes,No
ENST00000374672,NM_004235,9314,KLF4,chr9,107484852,107490482,-,5,Yes,Yes
ENST00000166345,NM_004237,9319,TRIP13,chr5,892884,919357,+,13,Yes,Yes
ENST00000617875,NM_004260,9401,RECQL4,chr8,144511288,144517845,-,22,No,Yes
ENST00000389048,NM_004304,238,ALK,chr2,29192774,29921586,-,29,Yes,No
ENST00000234739,NM_004326,607,BCL9,chr1,147541501,147626216,+,11,Yes,No
ENST00000305877,NM_004327,613,BCR,chr22,23179704,23318037,+,23,Yes,No
ENST00000372037,NM_004329,657,BMPR1A,chr10,86756601,86932838,+,13,No,Yes
ENST00000646891,NM_004333,673,BRAF,chr7,140719327,140924928,-,18,Yes,No
ENST00000316448,NM_004343,811,CALR,chr19,12938578,12944489,+,9,Yes,No
ENST00000261769,NM_004360,999,CDH1,chr16,68737292,68835541,+,16,No,Yes
ENST00000498907,NM_004364,1050,CEBPA,chr19,33299934,33302534,-,1,No,Yes
ENST00000262367,NM_004380,1387,CREBBP,chr16,3725054,3880713,-,31,No,Yes
ENST00000257600,NM_004416,1840,DTX1,chr12,113056709,113098028,+,9,No,Yes
ENST00000367284,NM_004433,1999,ELF3,chr1,202007945,202017183,+,9,Yes,Yes
ENST00000273854,NM_004439,2044,EPHA5,chr4,65319563,65670495,-,18,No,No
ENST00000369303,NM_004440,2045,EPHA7,chr6,93240020,93419559,-,17,Yes,Yes
ENST00000398015,NM_004441,2047,EPHB1,chr3,134597801,135260467,+,16,No,No
ENST00000269571,NM_004448,2064,ERBB2,chr17,39687914,39730426,+,27,Yes,No
ENST00000306376,NM_004454,2119,ETV5,chr3,186046314,186110318,-,13,Yes,No
ENST00000320356,NM_004456,2146,EZH2,chr7,148807383,148884321,-,20,Yes,Yes
ENST00000380728,NM_004489,2874,GPS2,chr17,7311324,7315564,-,11,No,Yes
ENST00000250448,NM_004496,3169,FOXA1,chr14,37589552,37596059,-,2,Yes,Yes
ENST00000375023,NM_004557,4855,NOTCH4,chr6,32194843,32224067,-,30,Yes,Yes
ENST00000366898,NM_004562,5071,PARK2,chr6,161347417,162727771,-,12,No,No
ENST00000366898,NM_004562,5071,PRKN,chr6,161347417,162727771,-,12,No,No
ENST00000433979,NM_004570,5288,PIK3C2G,chr12,18247614,18648416,+,32,No,No
ENST00000374994,NM_004612,7046,TGFBR1,chr9,99104038,99154192,+,9,No,Yes
ENST00000307078,NM_004655,8313,AXIN2,chr17,65528563,65561648,-,11,No,Yes
ENST00000460680,NM_004656,8314,BAP1,chr3,52401008,52410008,-,17,No,Yes
ENST00000549489,NM_004668,8972,MGAM,chr7,141907813,142106747,+,48,Yes,No
ENST00000543571,NM_004690,9113,LATS1,chr6,149658153,149718105,-,8,No,Yes
ENST00000265026,NM_004721,9175,MAP3K13,chr3,185282941,185489094,+,14,Yes,No
ENST00000340722,NM_004918,9623,TCL1B,chr14,95686426,95692628,+,4,Yes,No
ENST00000276925,NM_004936,1030,CDKN2B,chr9,22002903,22009305,-,2,No,Yes
ENST00000361445,NM_004958,2475,MTOR,chr1,11106535,11262551,-,58,Yes,No
ENST00000373548,NM_004964,3065,HDAC1,chr1,32292083,32333635,+,14,Yes,No
ENST00000381652,NM_004972,3717,JAK2,chr9,4984390,5128183,+,25,Yes,No
ENST00000341776,NM_004973,3720,JARID2,chr6,15246069,15522042,+,18,Yes,Yes
ENST00000334409,NM_005018,5133,PDCD1,chr2,241849884,241858894,-,5,Yes,No
ENST00000377346,NM_005026,5293,PIK3CD,chr1,9651731,9729114,+,24,Yes,No
ENST00000222254,NM_005027,5296,PIK3R2,chr19,18153163,18170532,+,16,No,Yes
ENST00000428762,NM_005045,5649,RELN,chr7,103471784,103989658,-,65,No,No
ENST00000216037,NM_005080,7494,XBP1,chr22,28794555,28800597,-,5,Yes,No
ENST00000307771,NM_005089,8233,ZRSR2,chrX,15790472,15823260,+,11,No,No
ENST00000294312,NM_005117,9965,FGF19,chr11,69698238,69704022,-,3,Yes,No
ENST00000374080,NM_005120,9968,MED12,chrX,71118556,71142454,+,45,Yes,Yes
ENST00000318560,NM_005157,25,ABL1,chr9,130713016,130887675,+,11,Yes,No
ENST00000262053,NM_005171,466,ATF1,chr12,50763710,50821162,+,7,Yes,No
ENST00000264033,NM_005188,867,CBL,chr11,119206298,119313926,+,16,No,Yes
ENST00000354336,NM_005207,1399,CRKL,chr22,20917407,20953747,+,3,Yes,No
ENST00000286301,NM_005211,1436,CSF1R,chr5,150053291,150113372,-,22,No,No
ENST00000648405,NM_005214,1493,CTLA4,chr2,203867771,203873965,+,4,Yes,No
ENST00000263620,NM_005224,1820,ARID3A,chr19,925781,975939,+,9,No,Yes
ENST00000275493,NM_005228,1956,EGFR,chr7,55019017,55211628,+,28,Yes,No
ENST00000336596,NM_005233,2042,EPHA3,chr3,89107621,89482134,+,17,No,Yes
ENST00000342788,NM_005235,2066,ERBB4,chr2,211375717,212538841,-,28,Yes,No
ENST00000311895,NM_005236,2072,ERCC4,chr16,13920154,13952348,+,11,No,Yes
ENST00000397938,NM_005243,2130,EWSR1,chr22,29268009,29300525,+,17,Yes,No
ENST00000441802,NM_005245,2195,FAT1,chr4,186587794,186726722,-,27,No,Yes
ENST00000334134,NM_005247,2248,FGF3,chr11,69809968,69819416,-,3,Yes,No
ENST00000228682,NM_005269,2735,GLI1,chr12,57459785,57472268,+,12,Yes,No
ENST00000343677,NM_005319,3006,HIST1H1C,chr6,26055787,26056428,-,1,No,No
ENST00000343677,NM_005319,3006,H1-2,chr6,26055787,26056428,-,1,No,No
ENST00000244534,NM_005320,3007,HIST1H1D,chr6,26234268,26234933,-,1,No,No
ENST00000244534,NM_005320,3007,H1-3,chr6,26234268,26234933,-,1,No,No
ENST00000304218,NM_005321,3008,HIST1H1E,chr6,26156354,26157107,+,1,No,No
ENST00000304218,NM_005321,3008,H1-4,chr6,26156354,26157107,+,1,No,No
ENST00000331442,NM_005322,3009,HIST1H1B,chr6,27866849,27867529,-,1,No,No
ENST00000331442,NM_005322,3009,H1-5,chr6,27866849,27867529,-,1,No,No
ENST00000254810,NM_005324,3021,H3F3B,chr17,75776434,75785893,-,4,No,No
ENST00000254810,NM_005324,3021,H3-3B,chr17,75776434,75785893,-,4,No,No
ENST00000342988,NM_005359,4089,SMAD4,chr18,51028394,51085045,+,12,No,Yes
ENST00000372470,NM_005373,4352,MPL,chr1,43337818,43354466,+,12,Yes,No
ENST00000281043,NM_005378,4613,MYCN,chr2,15940550,15947007,+,3,Yes,No
ENST00000602142,NM_005428,7409,VAV1,chr19,6772708,6857366,+,27,Yes,No
ENST00000359321,NM_005431,7516,XRCC2,chr7,152644776,152676141,-,3,No,Yes
ENST00000314574,NM_005433,7525,YES1,chr18,721588,812546,-,12,Yes,No
ENST00000373313,NM_005461,9935,MAFB,chr20,40685848,40689236,-,1,Yes,No
ENST00000673466,NM_005465,10000,AKT3,chr1,243488233,243851079,-,14,Yes,No
ENST00000341259,NM_005475,10019,SH2B3,chr12,111405923,111451623,+,8,No,Yes
ENST00000370196,NM_005521,3195,TLX1,chr10,101131300,101137789,+,3,Yes,No
ENST00000305123,NM_005544,3667,IRS1,chr2,226731317,226799759,-,2,Yes,No
ENST00000323929,NM_005591,4361,MRE11A,chr11,94415578,94493908,-,20,No,Yes
ENST00000323929,NM_005591,4361,MRE11,chr11,94415578,94493908,-,20,No,Yes
ENST00000262187,NM_005614,6009,RHEB,chr7,151466012,151520120,-,8,Yes,No
ENST00000237305,NM_005627,6446,SGK1,chr6,134169246,134318112,-,12,Yes,No
ENST00000249373,NM_005631,6608,SMO,chr7,129188633,129213545,+,12,Yes,No
ENST00000402219,NM_005633,6654,SOS1,chr2,38981549,39124345,-,23,Yes,No
ENST00000520242,NM_005648,6921,TCEB1,chr8,73939169,73972287,-,4,No,No
ENST00000520242,NM_005648,6921,ELOC,chr8,73939169,73972287,-,4,No,No
ENST00000378823,NM_005732,10111,RAD50,chr5,132556019,132646349,+,25,No,Yes
ENST00000383202,NM_005862,10274,STAG1,chr3,136336236,136752403,-,34,No,Yes
ENST00000345146,NM_005896,3417,IDH1,chr2,208236227,208266074,-,10,Yes,No
ENST00000327367,NM_005902,4088,SMAD3,chr15,67063763,67195169,+,9,No,Yes
ENST00000399503,NM_005921,4214,MAP3K1,chr5,56815549,56896152,+,20,No,Yes
ENST00000324856,NM_006015,8289,ARID1A,chr1,26693236,26782104,+,20,No,Yes
ENST00000345617,NM_006037,9759,HDAC4,chr2,239048168,239401654,-,27,Yes,Yes
ENST00000331340,NM_006060,10320,IKZF1,chr7,50304068,50405101,+,8,No,No
ENST00000324106,NM_006139,940,CD28,chr2,203706475,203738912,+,4,Yes,No
ENST00000254322,NM_006145,3337,DNAJB1,chr19,14514769,14529770,-,3,No,No
ENST00000397062,NM_006164,4780,NFE2L2,chr2,177227595,177392697,-,5,Yes,No
ENST00000376214,NM_006180,4915,NTRK2,chr9,84668551,85027070,+,21,Yes,No
ENST00000367921,NM_006182,4921,DDR2,chr1,162631373,162787405,+,18,Yes,No
ENST00000303577,NM_006196,5093,PCBP1,chr2,70087477,70089203,+,1,No,No
ENST00000257290,NM_006206,5156,PDGFRA,chr4,54229280,54298245,+,23,Yes,No
ENST00000263967,NM_006218,5290,PIK3CA,chr3,179148114,179240093,+,21,Yes,No
ENST00000674063,NM_006219,5291,PIK3CB,chr3,138652698,138834928,-,24,Yes,No
ENST00000320574,NM_006231,5426,POLE,chr12,132623753,132687376,-,49,No,Yes
ENST00000297338,NM_006265,5885,RAD21,chr8,116845934,116874776,-,14,No,Yes
ENST00000246792,NM_006270,6237,RRAS,chr19,49635292,49640143,-,6,Yes,No
ENST00000612899,NM_006290,7128,TNFAIP3,chr6,137867214,137883312,+,9,No,Yes
ENST00000322213,NM_006306,8243,SMC1A,chrX,53374149,53422728,-,25,No,Yes
ENST00000268712,NM_006311,9611,NCOR1,chr17,16029157,16218185,-,46,No,Yes
ENST00000405201,NM_006312,9612,NCOR2,chr12,124324415,124567589,-,47,No,No
ENST00000290295,NM_006361,10481,HOXB13,chr17,48724763,48729178,-,2,Yes,Yes
ENST00000222329,NM_006494,2077,ERF,chr19,42247569,42255128,-,4,No,Yes
ENST00000315869,NM_006521,7030,TFE3,chrX,49028726,49043410,-,10,Yes,No
ENST00000264010,NM_006565,10664,CTCF,chr16,67562467,67639177,+,12,No,Yes
ENST00000439174,NM_006572,10672,GNA13,chr17,65009289,65056740,-,4,Yes,No
ENST00000274289,NM_006622,10769,PLK2,chr5,58453982,58460139,-,14,No,No
ENST00000291552,NM_006758,7307,U2AF1,chr21,43092956,43107587,-,8,Yes,No
ENST00000265713,NM_006766,7994,KAT6A,chr8,41929479,42051994,-,17,No,Yes
ENST00000646124,NM_006767,8216,LZTR1,chr22,20982269,20999032,+,21,No,Yes
ENST00000649217,NM_006785,10892,MALT1,chr18,58671465,58754477,+,17,No,No
ENST00000336032,NM_006813,10957,PNRC1,chr6,89080751,89085160,+,2,No,No
ENST00000229340,NM_006861,11021,RAB35,chr12,120095099,120117502,-,6,Yes,No
ENST00000268489,NM_006885,463,ZFHX3,chr16,72782885,73891871,-,10,No,Yes
ENST00000328111,NM_006892,1789,DNMT3B,chr20,32762385,32809356,+,23,No,Yes
ENST00000368323,NM_006912,6016,RIT1,chr1,155897808,155911404,-,6,Yes,No
ENST00000395097,NM_006981,8013,NR4A3,chr9,99821855,99866891,+,8,Yes,No
ENST00000404276,NM_007194,11200,CHEK2,chr22,28687743,28742422,-,15,No,Yes
ENST00000392045,NM_007237,11262,SP140,chr2,230203110,230313215,+,27,No,Yes
ENST00000308924,NM_007279,11338,U2AF2,chr19,55654146,55674715,+,12,No,No
ENST00000357654,NM_007294,672,BRCA1,chr17,43044295,43170245,-,23,No,Yes
ENST00000502732,NM_007314,27,ABL2,chr1,179099330,179229684,-,12,Yes,No
ENST00000275364,NM_007353,2768,GNA12,chr7,2728105,2844308,-,4,Yes,No
ENST00000369452,NM_007373,8036,SHOC2,chr10,110919547,111013667,+,9,Yes,No
ENST00000220592,NM_012154,27161,AGO2,chr8,140520156,140635633,-,19,No,No
ENST00000477973,NM_012234,23429,RYBP,chr3,72371825,72446621,-,4,No,Yes
ENST00000256196,NM_012250,22800,RRAS2,chr11,14277922,14364506,-,6,Yes,No
ENST00000335508,NM_012433,23451,SF3B1,chr2,197388515,197435091,-,25,Yes,No
ENST00000293328,NM_012448,6777,STAT5B,chr17,42199177,42276707,-,19,Yes,No
ENST00000346872,NM_012481,22806,IKZF3,chr17,39757718,39864312,-,8,Yes,Yes
ENST00000511367,NM_013235,29102,DROSHA,chr5,31400497,31532196,-,35,No,No
ENST00000301030,NM_013275,29123,ANKRD11,chr16,89267630,89490561,-,13,No,Yes
ENST00000651154,NM_013372,26585,GREM1,chr15,32718004,32745106,+,2,Yes,No
ENST00000405005,NM_013964,3084,NRG1,chr8,31639222,32855666,+,12,No,Yes
ENST00000581977,NM_014002,9641,IKBKE,chr1,206470476,206496889,+,22,Yes,No
ENST00000381577,NM_014143,29126,CD274,chr9,5450503,5470566,+,7,Yes,No
ENST00000409792,NM_014159,29072,SETD2,chr3,47016429,47163967,-,21,No,Yes
ENST00000322088,NM_014225,5518,PPP2R1A,chr19,52190048,52229518,+,15,No,Yes
ENST00000436639,NM_014454,27244,SESN1,chr6,108986437,109094819,-,10,No,Yes
ENST00000382592,NM_014572,26524,LATS2,chr13,20973036,21061586,-,8,No,Yes
ENST00000361367,NM_014633,9646,CTR9,chr11,10751246,10801625,+,25,No,No
ENST00000376406,NM_014641,9656,MDC1,chr6,30699807,30717447,-,15,No,No
ENST00000308159,NM_014669,9688,NUP93,chr16,56730118,56850286,+,22,No,No
ENST00000262519,NM_014712,9739,SETD1A,chr16,30957754,30984664,+,19,Yes,No
ENST00000420124,NM_014727,9757,KMT2B,chr19,35717973,35738878,+,37,No,Yes
ENST00000377767,NM_014953,22894,DIS3,chr13,72752169,72782096,-,21,No,No
ENST00000375759,NM_015001,23013,SPEN,chr1,15836095,15940456,+,15,No,Yes
ENST00000315596,NM_015032,23047,PDS5B,chr13,32586452,32778019,+,35,No,Yes
ENST00000446231,NM_015092,23049,SMG1,chr16,18804853,18926454,-,63,No,Yes
ENST00000575354,NM_015125,23152,CIC,chr19,42268537,42295797,+,20,No,Yes
ENST00000407780,NM_015259,23308,ICOSLG,chr21,44217014,44240966,-,7,No,No
ENST00000294785,NM_015331,23385,NCSTN,chr1,160343316,160358952,+,17,Yes,No
ENST00000375687,NM_015338,171023,ASXL1,chr20,32358330,32439319,+,13,No,Yes
ENST00000322652,NM_015355,23512,SUZ12,chr17,31937007,32001038,+,16,No,No
ENST00000080059,NM_015401,51564,HDAC7,chr12,47782722,47833132,-,26,Yes,No
ENST00000389561,NM_015409,57634,EP400,chr12,131949942,132080460,+,53,No,Yes
ENST00000357628,NM_015450,25913,POT1,chr7,124822386,124929983,-,19,No,Yes
ENST00000646673,NM_015474,25939,SAMHD1,chr20,36889773,36951901,-,16,No,Yes
ENST00000649279,NM_015559,26040,SETBP1,chr18,44680173,45068510,+,6,Yes,No
ENST00000287820,NM_015869,5468,PPARG,chr3,12287368,12434356,+,7,Yes,No
ENST00000520539,NM_015902,51366,UBR5,chr8,102252273,102412759,-,59,Yes,No
ENST00000369902,NM_016169,51684,SUFU,chr10,102503987,102633535,+,12,No,Yes
ENST00000248071,NM_016270,10365,KLF2,chr19,16324817,16327874,+,3,No,Yes
ENST00000231948,NM_016302,51185,CRBN,chr3,3144628,3179727,-,11,No,Yes
ENST00000395288,NM_016506,55709,KBTBD4,chr11,47572197,47578976,-,4,No,No
ENST00000447079,NM_016507,51755,CDK12,chr17,39461486,39564907,+,14,No,Yes
ENST00000257566,NM_016569,6926,TBX3,chr12,114670255,114684175,-,8,No,Yes
ENST00000358127,NM_016734,5079,PAX5,chr9,36833269,37034268,-,10,No,Yes
ENST00000332131,NM_017438,54093,SETD4,chr21,36034541,36079389,-,12,No,No
ENST00000295727,NM_017521,54738,FEV,chr2,218981087,218985184,-,3,No,No
ENST00000651671,NM_017617,4851,NOTCH1,chr9,136494433,136546048,-,34,Yes,Yes
ENST00000369448,NM_017709,54855,GAM46C,chr1,117606048,117628389,+,2,No,No
ENST00000369448,NM_017709,54855,TENT5C,chr1,117606048,117628389,+,2,No,No
ENST00000407977,NM_017763,54894,RNF43,chr17,58352500,58417595,-,10,No,Yes
ENST00000301761,NM_017841,54949,SDHAF2,chr11,61430042,61447529,+,4,No,Yes
ENST00000325599,NM_018130,55164,SHQ1,chr3,72749277,72861914,-,11,No,Yes
ENST00000435504,NM_018263,55252,ASXL2,chr2,25733753,25878487,-,13,No,Yes
ENST00000394830,NM_018313,55193,PBRM1,chr3,52545352,52685917,-,30,No,Yes
ENST00000266517,NM_018638,55500,ETNK1,chr12,22625075,22690665,+,8,No,No
ENST00000652259,NM_018833,6891,TAP2,chr6,32821833,32838770,-,12,No,No
ENST00000356142,NM_018890,5879,RAC1,chr7,6374527,6403967,+,7,Yes,No
ENST00000377482,NM_018948,54206,ERRFI1,chr1,8004404,8026309,-,4,No,Yes
ENST00000272342,NM_019002,54465,ETAA1,chr2,67397322,67412089,+,6,No,Yes
ENST00000344450,NM_020185,56940,DUSP22,chr6,291630,351355,+,8,No,Yes
ENST00000614739,NM_020377,57105,CYSLTR2,chr13,48653711,48711226,+,5,No,No
ENST00000402868,NM_020382,387893,KMT5A,chr12,123383773,123409353,+,8,No,No
ENST00000216797,NM_020529,4792,NFKBIA,chr14,35401511,35404749,-,6,No,Yes
ENST00000292782,NM_020640,54165,DCUN1D1,chr3,182938074,182985953,-,7,No,No
ENST00000647938,NM_020732,57492,ARID1B,chr6,156776020,157210779,+,20,No,Yes
ENST00000306801,NM_020761,57521,RPTOR,chr17,80544819,80966371,+,34,Yes,No
ENST00000355710,NM_020975,5979,RET,chr10,43077064,43130351,+,20,Yes,No
ENST00000449682,NM_020998,4485,MST1,chr3,49683947,49689501,-,18,No,Yes
ENST00000618052,NM_021018,8968,HIST1H3F,chr6,26250195,26250605,-,1,No,No
ENST00000618052,NM_021018,8968,H3C7,chr6,26250195,26250605,-,1,No,No
ENST00000296921,NM_021025,30012,TLX3,chr5,171309248,171312139,+,3,Yes,No
ENST00000339812,NM_021058,8970,HIST1H2BJ,chr6,27125897,27132750,-,1,No,No
ENST00000339812,NM_021058,8970,H2BC11,chr6,27125897,27132750,-,1,No,No
ENST00000369158,NM_021059,126961,HIST2H3C,chr1,149839538,149841193,-,1,No,No
ENST00000369158,NM_021059,126961,H3C14,chr1,149839538,149841193,-,1,No,No
ENST00000377777,NM_021063,3017,HIST1H2BD,chr6,26158146,26171349,+,1,No,No
ENST00000377777,NM_021063,3017,H2BC5,chr6,26158146,26171349,+,1,No,No
ENST00000359193,NM_021064,8969,HIST1H2AG,chr6,27133042,27135291,+,1,No,No
ENST00000359193,NM_021064,8969,H2AC11,chr6,27133042,27135291,+,1,No,No
ENST00000316660,NM_021127,5366,PMAIP1,chr18,59899948,59904306,+,2,No,Yes
ENST00000247668,NM_021138,7186,TRAF2,chr9,136881912,136926607,+,11,No,No
ENST00000377967,NM_021140,7403,KDM6A,chrX,44873177,45112602,+,29,No,Yes
ENST00000301178,NM_021913,558,AXL,chr19,41219223,41261766,+,20,Yes,No
ENST00000540052,NM_021946,63035,BCORL1,chrX,129981107,130058083,+,12,No,Yes
ENST00000369026,NM_021960,4170,MCL1,chr1,150574551,150579738,-,3,Yes,No
ENST00000400841,NM_022148,64109,CRLF2,chrX,1187549,1212723,-,6,Yes,No
ENST00000373001,NM_022157,64121,RRAGC,chr1,38838198,38859772,-,7,Yes,No
ENST00000297316,NM_022454,64321,SOX17,chr8,54457935,54460892,+,2,No,Yes
ENST00000439151,NM_022455,64324,NSD1,chr5,177133025,177300215,+,23,Yes,Yes
ENST00000367669,NM_022457,64326,RFWD2,chr1,175944831,176207286,-,20,Yes,No
ENST00000367669,NM_022457,64326,COP1,chr1,175944831,176207286,-,20,Yes,No
ENST00000321117,NM_022552,1788,DNMT3A,chr2,25227855,25342590,-,23,No,Yes
ENST00000412916,NM_022845,865,CBFB,chr16,67028984,67101058,+,6,No,Yes
ENST00000317025,NM_023034,54904,WHSC1L1,chr8,38269704,38382272,-,24,No,No
ENST00000317025,NM_023034,54904,NSD3,chr8,38269704,38382272,-,24,No,No
ENST00000648323,NM_023067,668,FOXL2,chr3,138944224,138947137,-,1,Yes,Yes
ENST00000256646,NM_024408,4853,NOTCH2,chr1,119911553,120100779,-,34,Yes,Yes
ENST00000452863,NM_024426,7490,WT1,chr11,32387775,32435564,-,10,Yes,Yes
ENST00000276594,NM_024504,63978,PRDM14,chr8,70051651,70071693,-,8,No,No
ENST00000367435,NM_024529,79577,CDC73,chr1,193121958,193254815,+,17,No,Yes
ENST00000369458,NM_024626,79679,VTCN1,chr1,117143587,117210960,-,6,No,No
ENST00000457928,NM_024665,79718,TBL1XR1,chr3,177019340,177228000,-,16,No,Yes
ENST00000261584,NM_024675,79728,PALB2,chr16,23603160,23641310,-,13,No,Yes
ENST00000262244,NM_024761,79817,MOB3B,chr9,27325209,27529814,-,4,No,Yes
ENST00000288368,NM_024870,80243,PREX2,chr8,67952046,68237032,+,40,No,No
ENST00000397747,NM_025239,80380,PDCD1LG2,chr9,5510531,5571282,+,7,Yes,No
ENST00000526495,NM_030621,23405,DICER1,chr14,95086228,95158010,-,29,No,Yes
ENST00000373644,NM_030625,80312,TET1,chr10,68560337,68694487,+,12,No,Yes
ENST00000262948,NM_030662,5605,MAP2K2,chr19,4090321,4124129,-,11,Yes,No
ENST00000367900,NM_031423,83540,NUF2,chr1,163266576,163355764,+,14,Yes,No
ENST00000253063,NM_031459,83667,SESN2,chr1,28259518,28282491,+,10,No,Yes
ENST00000373129,NM_032017,83931,STK40,chr1,36339624,36385896,-,12,No,No
ENST00000295050,NM_032018,83932,SPRTN,chr1,231337104,231355023,+,5,No,Yes
ENST00000259008,NM_032043,83990,BRIP1,chr17,61679139,61863528,-,20,No,Yes
ENST00000279873,NM_032199,84159,ARID5B,chr10,61901684,62096944,+,10,No,Yes
ENST00000331768,NM_032233,84193,SETD3,chr14,99397748,99480889,-,13,No,No
ENST00000326181,NM_032271,84231,TRAF7,chr16,2155698,2178129,+,21,No,No
ENST00000396946,NM_032415,84433,CARD11,chr7,2906141,3043945,-,25,Yes,No
ENST00000294008,NM_032444,84464,SLX4,chr16,3581181,3611606,-,15,No,Yes
ENST00000398665,NM_032482,84444,DOT1L,chr19,2163933,2232578,+,28,No,No
ENST00000341105,NM_032638,2624,GATA2,chr3,128479427,128493201,-,6,Yes,No
ENST00000444129,NM_032941,5965,RECQL,chr12,21468910,21501669,-,15,No,Yes
ENST00000508582,NM_032957,51750,RTEL1,chr20,63657810,63696253,+,35,No,Yes
ENST00000573035,NM_032999,2969,GTF2I,chr7,74650231,74760692,+,35,Yes,No
ENST00000376042,NM_033031,85417,CCNB3,chrX,50202713,50351914,+,13,Yes,No
ENST00000249776,NM_033286,90417,KNSTRN,chr15,40382721,40394246,+,9,No,No
ENST00000256078,NM_033360,3845,KRAS,chr12,25205246,25250936,-,6,Yes,No
ENST00000603548,NM_033632,55294,FBXW7,chr4,152320544,152536092,-,12,No,Yes
ENST00000227507,NM_053056,595,CCND1,chr11,69641156,69654474,+,5,Yes,No
ENST00000337432,NM_058216,5889,RAD51C,chr17,58692573,58735611,+,9,No,Yes
ENST00000263377,NM_058243,23476,BRD4,chr19,15235519,15332545,-,20,Yes,No
ENST00000448526,NM_078467,1026,CDKN1A,chr6,36676460,36687339,+,4,No,Yes
ENST00000371761,NM_078626,1031,CDKN2C,chr1,50960745,50974634,+,2,No,Yes
ENST00000356950,NM_080593,85236,HIST1H2BK,chr6,27146418,27146798,-,1,No,No
ENST00000356950,NM_080593,85236,H2BC12,chr6,27146418,27146798,-,1,No,No
ENST00000373198,NM_133170,11122,PTPRT,chr20,42072752,43189970,-,32,No,Yes
ENST00000487270,NM_133509,5890,RAD51B,chr14,67819779,68730218,+,11,No,Yes
ENST00000335858,NM_133629,5892,RAD51D,chr17,35092208,35121522,-,7,No,Yes
ENST00000358495,NM_134424,5893,RAD52,chr12,911736,990053,-,12,No,No
ENST00000432329,NM_134442,1385,CREB1,chr2,207529737,207605988,+,9,Yes,No
ENST00000357195,NM_138576,64919,BCL11B,chr14,99169287,99272197,-,4,No,Yes
ENST00000307677,NM_138578,598,BCL2L1,chr20,31664452,31723989,-,3,No,No
ENST00000393256,NM_138621,10018,BCL2L11,chr2,111119378,111168445,+,4,No,Yes
ENST00000284073,NM_138962,124540,MSI2,chr17,57255851,57684689,+,14,Yes,No
ENST00000321945,NM_139076,84142,FAM175A,chr4,83459517,83523348,-,9,No,Yes
